Ticker,Company Name,monthly_return,capm_beta,book_price,CAP,GPM
AMCX,AMC Networks Inc. Class A,-9.69,1.0874923,-0.008623171,3770.7856,51.424313
AMED,"Amedisys, Inc.",-10.27,0.6726063,0.28471532,1894.2814,40.677547
AEE,Ameren Corporation,3.21,0.38772255,0.4723124,14031.984,30.414745
AAL,"American Airlines Group, Inc.",-2.44,0.9745112,0.15935828,22795.197,31.505724
AAT,"American Assets Trust, Inc.",-2.75,0.53181887,0.45635825,1874.3625,39.722652
AXL,"American Axle & Manufacturing Holdings, Inc.",-0.38,1.3651346,0.38943812,1956.654,18.804457
ACC,"American Campus Communities, Inc.",-5.11,0.27544358,0.6266917,6015.563,25.50114
AEO,"American Eagle Outfitters, Inc.",-6.48,1.0891172,0.50865275,2530.5994,33.52491
AEP,"American Electric Power Company, Inc.",2.27,0.30340663,0.47548008,34547,26.822508
AEL,American Equity Investment Life Holding Company,#N/A,2.5286138,0.88243026,2580.5886,#N/A
AXP,American Express Company,2.19,1.2171061,0.23741727,78790.66,75.83215
AFG,"American Financial Group, Inc.",#N/A,0.860776,0.5361161,9113.944,#N/A
AIG,"American International Group, Inc.",#N/A,1.2291578,1.1864656,55459.273,#N/A
APEI,"American Public Education, Inc.",-4.13,1.1374269,0.8214973,342.0204,56.442028
AWR,American States Water Company,4.8,0.46510863,0.2514597,1804.7543,48.731335
AMT,American Tower Corporation,1.66,0.74629015,0.110228494,58669.027,42.685543
AVD,American Vanguard Corporation,-2.09,1.2838732,0.4270405,682.0993,41.103065
AWK,"American Water Works Company, Inc.",4.05,0.26257563,0.33385018,14432.238,40.21805
AMWD,American Woodmark Corporation,-0.88,1.5271552,0.22476383,1568.0482,21.474058
AMP,"Ameriprise Financial, Inc.",1.99,1.9177558,0.25971973,22029.605,47.683243
ABCB,Ameris Bancorp,#N/A,1.1794093,0.38645425,1787.0903,#N/A
AMSF,"AMERISAFE, Inc.",#N/A,0.8905097,0.36662418,1120.0021,#N/A
ABC,AmerisourceBergen Corporation,#N/A,0.95127434,#N/A,18125.213,2.5700283
AME,"AMETEK, Inc.",-0.04,1.3256629,0.21035843,15262.98,36.480083
AMGN,Amgen Inc.,-5.71,1.3818389,0.23096713,135474.56,81.65146
AMN,"AMN Healthcare Services, Inc.",-3.73,0.40314236,0.21499863,2191.178,31.021776
AMPH,Amphastar Pharmaceuticals Inc,-0.29,1.6475625,0.39398116,826.4686,38.975956
APH,Amphenol Corporation Class A,0.27,0.79741406,0.13701016,25815.2,32.451008
APC,Anadarko Petroleum Corporation,-0.86,1.4063976,0.44876033,26994.508,6.1753225
ADI,"Analog Devices, Inc.",2.29,1.3102412,0.1835948,31681.93,62.985474
ALOG,Analogic Corporation,-3.73,0.848726,0.45995757,1044.1803,39.556347
ANDV,Andeavor,0.47,1.556779,0.44003558,16355.286,7.9638815
ANDE,"Andersons, Inc.",5.03,1.3508534,0.73248065,970.9875,9.185663
ANGO,"AngioDynamics, Inc.",-1.44,1.0528373,0.82381076,632.8083,45.723797
ANIP,"ANI Pharmaceuticals, Inc.",5.95,2.8461242,0.2518143,611.7134,44.703857
ANIK,"Anika Therapeutics, Inc.",-4.8,1.4627984,0.27878928,850.396,76.75834
AXE,Anixter International Inc.,-13.67,2.021343,0.5625152,2857.7627,19.814241
ANSS,"ANSYS, Inc.",6,1.0544342,0.18852079,10411.689,83.852234
ANTM,"Anthem, Inc.",#N/A,0.7691819,0.45489377,48876.016,#N/A
AON,Aon plc,-2.63,1.0470098,0.14569439,36641.883,40.51776
APA,Apache Corporation,-7.42,1.0748142,0.39886764,17446.957,7.9373946
AIV,Apartment Investment and Management Company Class A,-1.17,0.48072508,0.24187171,6887.0425,30.672153
APOG,"Apogee Enterprises, Inc.",-1.62,1.5915837,0.3437537,1382.2991,26.039871
ARI,"Apollo Commercial Real Estate Finance, Inc.",-1.29,0.63611275,1.1695122,1909.7219,92.118935
AAPL,Apple Inc.,4.23,1.2206815,0.14800245,790050.1,38.613426
AIT,"Applied Industrial Technologies, Inc.",-3.32,0.9287595,0.29990667,2554.027,27.501694
AMAT,"Applied Materials, Inc.",3.75,1.8399303,0.11863911,55553.316,41.875286
